Day,Temperature,Rainfall,Holiday,Ice_Cream_Sold,Notes
Wednesday,36,2,No,80,Windy
Thursday,31,11,No,89,Sunny day
Saturday,33,19,Yes,85,Hot
Wednesday,25,3,Yes,55,Cool
Wednesday,22,15,Yes,115,Sunny day
Monday,28,6,Yes,124,Sunny day
Wednesday,24,12,No,53,Cool
Friday,36,9,Yes,128,Windy
Sunday,33,6,Yes,183,Cloudy
Saturday,22,13,Yes,167,Hot
Wednesday,20,4,Yes,162,Cloudy
Monday,39,2,Yes,143,Cool
Friday,20,10,Yes,111,Sunny day
Tuesday,22,10,No,128,Sunny day
Sunday,37,17,No,185,Hot
Sunday,29,14,Yes,75,Sunny day
Saturday,22,11,Yes,93,Sunny day
Sunday,27,8,Yes,182,Hot
Wednesday,33,9,No,119,Hot
Monday,37,11,Yes,167,Cool
Sunday,34,16,No,117,Sunny day
Sunday,21,5,Yes,68,Sunny day
Tuesday,29,6,Yes,69,Cool
Tuesday,21,13,Yes,162,Windy
Thursday,36,12,Yes,189,Windy
Friday,27,7,No,96,Windy
Wednesday,20,9,No,50,Cool
Sunday,28,8,Yes,139,Sunny day
Sunday,30,17,Yes,191,Cool
Monday,35,1,No,113,Cool
Thursday,26,4,No,87,Windy
Friday,29,4,No,86,Cloudy
Thursday,22,5,No,175,Sunny day
Saturday,37,18,Yes,188,Windy
Friday,32,7,No,149,Cloudy
Sunday,26,15,Yes,126,Cloudy
Sunday,23,12,No,52,Hot
Friday,32,0,No,183,Sunny day
Sunday,39,19,No,59,Cloudy
Wednesday,20,16,No,54,Windy
Friday,27,6,No,187,Hot
Thursday,33,12,Yes,179,Sunny day
Friday,35,3,Yes,62,Cool
Sunday,33,3,No,179,Windy
Wednesday,31,5,No,133,Cloudy
Wednesday,38,18,Yes,114,Cloudy
Saturday,34,11,No,112,Windy
Thursday,21,6,No,150,Cloudy
Tuesday,21,9,Yes,122,Hot
Tuesday,38,18,No,66,Sunny day
Friday,36,6,No,58,Hot
