User_ID,Age,Region,Preferred_Genre,Watch_Time_per_Day(hrs),Binge_Watcher (Yes/No),Monthly_Subscription_Cost($),Avg_Series_Rating
U075,29,North America,Action,3.06,Yes,5.91,2.69
U076,46,Africa,Comedy,3.48,Yes,10.62,2.82
U077,63,North America,Comedy,2.08,No,24.01,2.82
U078,30,Asia,Comedy,3.75,No,22.81,2.88
U079,23,Europe,Thriller,0.67,No,14.11,2.85
U080,29,South America,Romance,0.71,Yes,17.4,4.1
U081,38,Asia,Action,5.02,Yes,10.55,2.95
U082,55,North America,Thriller,2.48,No,8.76,3.36
U083,36,South America,Comedy,1.2,Yes,14.27,4.74
U084,31,North America,Action,3.37,No,12.07,3.68
U085,60,North America,Thriller,4.73,No,16.67,4.17
U086,33,Europe,Romance,1.69,Yes,6.55,2.93
U087,62,South America,Thriller,3.93,No,24.49,2.98
U088,39,South America,Romance,0.97,No,24.72,2.6
U089,41,Europe,Comedy,0.78,Yes,18.96,2.92
U090,40,Asia,Romance,3.42,No,15.72,3.2
U091,60,North America,Action,3.47,Yes,11.19,2.94
U092,56,Africa,Comedy,4.01,No,21.28,2.72
U093,44,North America,Action,4.49,Yes,18.69,2.8
U094,30,North America,Sci-Fi,5.87,No,8.25,3.65
U095,60,Asia,Drama,3.34,Yes,23.22,3.02
U096,16,North America,Romance,2.28,Yes,21.45,3.41
U097,40,Europe,Drama,4.87,No,24.0,3.76
U098,22,Europe,Drama,1.99,Yes,19.51,4.23
U099,24,South America,Romance,2.91,Yes,17.27,2.6
U100,39,Africa,Comedy,0.93,No,13.36,4.5
